loc data homology
1451 2.81512 1
1456 3.1302 1
1461 2.82986 1
1466 2.6256 1
1471 2.60313 1
1476 2.39667 1
1481 2.30425 1
1486 2.13281 1
1491 1.82361 1
1496 1.65461 1
1501 1.50334 1
1506 1.41761 1
1511 1.12158 1
1516 0.877655 1
1521 0.808566 1
1526 0.741878 1
1531 0.67917 1
1536 0.627904 1
1541 0.515815 1
1546 0.464046 1
1551 0.441103 1
1556 0.441006 1
1561 0.4356 1
1566 0.429581 1
1571 0.421836 1
1576 0.419785 1
1581 0.421788 1
1586 0.425339 1
1591 0.425216 1
1596 0.420337 1
1601 0.422703 1
1606 0.443946 1
1611 0.448146 1
1616 0.452523 1
1621 0.472256 1
1626 0.478997 1
1631 0.487354 1
1636 0.491256 1
1641 0.49689 1
1646 0.498599 1
1651 0.545263 1
1656 0.602305 1
1661 0.586428 1
1666 0.576692 1
1671 0.584483 1
1676 0.581296 1
1681 0.590846 1
1686 0.569316 1
1691 0.585852 1
1696 0.678661 1
1701 0.773314 1
1706 0.912731 1
1711 1.10584 1
1716 1.36214 1
1721 1.48197 1
1726 1.47063 1
1731 1.5222 1
1736 1.87252 1
1741 2.10312 1
1746 2.19698 1
1751 2.38556 1
1756 2.36571 1
1761 2.5112 1
1766 2.50108 1
1771 2.37915 1
1776 2.60879 1
1781 2.73911 1
1786 3.12936 1
1791 3.78808 1
1796 4.83211 1
1801 5.27368 1
1806 6.4068 1
1811 8.55098 1
1816 8.94409 1
1821 9.37802 1
1826 9.65289 1
1831 10.7289 1
1836 11.0305 1
1841 10.041 1
1846 8.96712 1
1851 7.68004 1
1856 6.77413 1
1861 6.764 1
1866 6.29224 1
1871 4.82792 1
1876 3.60292 1
1881 3.1697 1
1886 2.89787 1
1891 2.62023 1
1896 2.47179 1
1901 1.85695 1
1906 1.71768 1
1911 1.65392 1
1916 1.46977 1
1921 1.2834 1
1926 1.2082 1
1931 1.17045 1
1936 1.148 1
1941 1.09758 1
1946 0.999401 1
1951 0.880094 1
1956 0.816533 1
1961 0.798409 1
1966 0.799907 1
1971 0.796509 1
1976 0.775539 1
1981 0.775214 1
1986 0.804265 1
1991 0.803611 1
1996 0.772072 1
2001 0.773677 1
2006 0.805586 1
2011 0.81068 1
2016 0.799159 1
2021 0.921375 1
2026 1.01208 1
2031 1.05959 1
2036 1.05676 1
2041 1.19874 1
2046 1.24215 1
2051 1.26128 1
2056 1.25372 1
2061 1.21183 1
2066 1.12803 1
2071 1.09732 1
2076 1.11374 1
2081 1.09509 1
2086 1.07703 1
2091 1.13655 1
2096 1.13405 1
2101 1.16939 1
2106 1.22839 1
2111 1.2838 1
2116 1.42871 1
2121 1.60247 1
2126 1.68397 1
2131 1.70765 1
2136 1.72325 1
2141 1.71943 1
2146 1.80041 1
2151 1.85955 1
2156 1.93868 1
2161 2.11372 1
2166 2.23502 1
2171 2.31396 1
2176 2.42559 1
2181 2.57012 1
2186 3.06395 1
2191 3.34197 1
2196 3.3731 1
2201 3.40161 1
2206 3.40373 1
2211 3.50535 1
2216 3.59664 1
2221 3.69177 1
2226 3.76554 1
2231 3.82268 1
2236 3.8929 1
2241 4.02536 1
2246 4.42435 1
2251 4.6179 1
2256 5.30194 1
2261 6.4831 1
2266 7.32074 1
2271 7.43789 1
2276 7.16254 1
2281 7.07441 1
2286 7.13089 1
2291 7.52178 1
2296 8.24534 1
2301 7.87031 1
2306 7.30771 1
2311 7.21389 1
2316 7.84513 1
2321 7.76769 1
2326 7.6602 1
2331 7.70514 1
2336 5.77839 1
2341 3.9127 1
2346 3.49637 1
2351 3.25395 1
2356 3.00823 1
2361 2.25581 1
2366 1.91491 1
2371 1.61908 1
2376 1.53212 1
2381 1.46116 1
2386 1.44808 1
2391 1.4267 1
2396 1.45335 1
2401 1.39497 1
2406 1.36796 1
2411 1.36622 1
2416 1.38012 1
2421 1.42923 1
2426 1.4422 1
2431 1.43068 1
2436 1.44189 1
2441 1.43204 1
2446 1.40986 1
2451 1.41909 1
2456 1.37792 1
2461 1.39707 1
2466 1.38857 1
2471 1.40558 1
2476 1.38032 1
2481 1.59075 1
2486 1.53245 1
2491 1.40213 1
2496 1.36226 1
2501 1.34047 1
2506 1.28343 1
2511 1.27228 1
2516 1.24606 1
2521 1.18449 1
2526 1.14743 1
2531 1.11539 1
2536 1.08508 1
2541 1.0606 1
2546 1.05467 1
2551 1.01191 1
2556 0.975633 1
2561 0.930815 1
2566 0.873988 1
2571 0.842213 1
2576 0.807237 1
2581 0.761052 1
2586 0.720471 1
2591 0.706463 1
2596 0.709312 1
2601 0.72833 1
2606 0.728011 1
2611 0.661994 1
2616 0.58263 1
2621 0.57377 1
2626 0.568797 1
2631 0.566262 1
2636 0.570076 1
2641 0.572422 1
2646 0.574964 1
2651 0.567903 1
2656 0.57317 1
2661 0.582157 1
2666 0.569461 1
2671 0.576361 1
2676 0.55808 1
2681 0.540337 1
2686 0.532936 1
2691 0.538924 1
2696 0.550792 1
2701 0.550135 1
2706 0.541079 1
2711 0.514722 1
2716 0.523365 1
2721 0.551069 1
2726 0.564005 1
2731 0.671861 1
2736 0.801977 1
2741 0.906721 1
2746 0.742704 1
2751 0.679905 1
2756 0.46451 1
2761 0.30739 1
2766 0.289801 1
2771 0.274735 1
2776 0.275744 1
2781 0.286554 1
2786 0.290432 1
2791 0.284456 1
2796 0.282123 1
2801 0.271473 1
2806 0.262963 1
2811 0.268376 1
2816 0.273704 1
2821 0.273114 1
2826 0.283379 1
2831 0.330072 1
2836 0.345217 1
2841 0.343393 1
2846 0.349457 1
2851 0.369952 1
2856 0.378135 1
2861 0.403665 1
2866 0.513618 1
2871 0.639296 1
2876 0.729288 1
2881 0.824878 1
2886 0.83884 1
2891 0.867201 1
2896 0.893602 1
2901 0.919751 1
2906 1.01259 1
2911 1.42266 1
2916 1.65816 1
2921 1.74514 1
2926 1.8035 1
2931 1.90695 1
2936 2.07075 1
2941 2.2659 1
2946 2.52233 1
2951 2.66128 1
2956 2.82184 1
2961 2.92644 1
2966 2.99538 1
2971 3.17178 1
2976 3.15395 1
2981 3.146 1
2986 3.3822 1
2991 3.81861 1
2996 4.40202 1
3001 4.48901 1
3006 4.94538 1
3011 5.47134 1
3016 6.03394 1
3021 6.39816 1
3026 7.06409 1
3031 7.70398 1
3036 7.93958 1
3041 8.32381 1
3046 8.58117 1
3051 8.49442 1
3056 8.34502 1
3061 8.3092 1
3066 8.14162 1
3071 7.80505 1
3076 7.30506 1
3081 7.39943 1
3086 7.25972 1
3091 6.65051 1
3096 5.90067 1
3101 4.93459 1
3106 4.20645 1
3111 4.05437 1
3116 3.84606 1
3121 3.54814 1
3126 3.49089 1
3131 3.49177 1
3136 3.41997 1
3141 2.89023 1
3146 1.83874 1
3151 1.59129 1
3156 1.50533 1
3161 1.38419 1
3166 1.33941 1
3171 1.24026 1
3176 1.135 1
3181 1.06217 1
3186 0.998006 1
3191 0.961429 1
3196 0.966254 1
3201 0.972255 1
3206 1.01714 1
3211 1.00796 1
3216 0.952483 1
3221 0.919231 1
3226 0.931087 1
3231 0.9166 1
3236 0.889294 1
3241 0.889876 1
3246 0.888193 1
3251 0.873974 1
3256 0.752652 1
3261 0.652222 1
3266 0.636304 1
3271 0.593617 1
3276 0.50555 1
3281 0.43448 1
3286 0.392376 1
3291 0.438428 1
3296 0.448964 1
3301 0.459246 1
3306 0.437246 1
3311 0.411843 1
3316 0.407787 1
3321 0.383656 1
3326 0.377516 1
3331 0.37221 1
3336 0.353539 1
3341 0.363098 1
3346 0.348892 1
3351 0.341823 1
3356 0.347654 1
3361 0.349734 1
3366 0.343322 1
3371 0.336931 1
3376 0.342622 1
3381 0.355371 1
3386 0.365205 1
3391 0.39727 1
3396 0.420998 1
3401 0.432412 1
3406 0.442241 1
3411 0.46851 1
3416 0.494214 1
3421 0.494959 1
3426 0.499696 1
3431 0.500912 1
3436 0.481716 1
3441 0.423747 1
3446 0.386772 1
3451 0.368813 1
3456 0.363317 1
3461 0.36349 1
3466 0.364257 1
3471 0.364002 1
3476 0.363115 1
3481 0.362214 1
3486 0.366911 1
3491 0.385613 1
3496 0.384487 1
3501 0.389005 1
3506 0.391078 1
3511 0.44205 1
3516 0.482291 1
3521 0.585716 1
3526 0.851484 1
3531 0.928197 1
3536 1.12256 1
3541 1.31189 1
3546 1.29842 1
3551 1.26217 1
3556 1.34023 1
3561 1.45728 1
3566 1.51286 1
3571 1.51823 1
3576 1.36846 1
3581 1.09487 1
3586 1.0055 1
3591 0.803997 1
3596 0.756922 1
3601 0.697942 1
3606 0.657276 1
3611 0.644819 1
3616 0.631689 1
3621 0.582435 1
3626 0.493076 1
3631 0.482455 1
3636 0.480623 1
3641 0.463067 1
3646 0.441084 1
3651 0.434335 1
3656 0.373884 1
3661 0.340712 1
3666 0.331734 1
3671 0.310932 1
3676 0.308133 1
3681 0.308495 1
3686 0.30178 1
3691 0.298042 1
3696 0.291195 1
3701 0.291022 1
3706 0.291839 1
3711 0.29746 1
3716 0.301831 1
3721 0.296298 1
3726 0.308378 1
3731 0.338505 1
3736 0.338806 1
3741 0.343098 1
3746 0.346338 1
3751 0.363689 1
3756 0.366 1
3761 0.342631 1
3766 0.33815 1
3771 0.346862 1
3776 0.336887 1
3781 0.32724 1
3786 0.315919 1
3791 0.309619 1
3796 0.292371 1
3801 0.278392 1
3806 0.279541 1
3811 0.277753 1
3816 0.275514 1
3821 0.274528 1
3826 0.293134 1
3831 0.301601 1
3836 0.295828 1
3841 0.315496 1
3846 0.363237 1
3851 0.398077 1
3856 0.415909 1
3861 0.447703 1
3866 0.527896 1
3871 0.474088 1
3876 0.513624 1
3881 0.560946 1
3886 0.562337 1
3891 0.517005 1
3896 0.543426 1
3901 0.536433 1
3906 0.526021 1
3911 0.523095 1
3916 0.512175 1
3921 0.505802 1
3926 0.510618 1
3931 0.515146 1
3936 0.515257 1
3941 0.516899 1
3946 0.531485 1
3951 0.541345 1
3956 0.537829 1
3961 0.529445 1
3966 0.5132 1
3971 0.517882 1
3976 0.522943 1
3981 0.513662 1
3986 0.533216 1
3991 0.512075 1
3996 0.487382 1
